Code,Human Development Index,Fertility Rate,Population,Country Name
AUS,0.896,1.764,19132473.0,Australia
BRA,0.668,2.247,174018276.0,Brazil
CAN,0.89,1.51,30891800.0,Canada
CHN,0.586,1.628,1269581164.0,China
DEU,0.89,1.386,81797255.0,Germany
ESP,0.828,1.21,41019773.0,Spain
FRA,0.844,1.876,59483716.0,France
GBR,0.863,1.641,59057336.0,United Kingdom
IND,0.49,3.35,1057922728.0,India
ITA,0.842,1.249,57272200.0,Italy
JPN,0.883,1.346,127027796.0,Japan
KOR,0.824,1.467,46766659.0,South Korea
MEX,0.709,2.714,98625554.0,Mexico
RUS,0.733,1.19,146717784.0,Russia
USA,0.894,2.03,281484127.0,United States
